"sort_to_sheet","mat_type_code","mat_type","first_item_itype","call_number","isbn","bib_record_num","bib_record_id","publish_year","cataloging_date","best_title","best_title_norm","call_number","volume_statement","oldest_hold_date","newest_hold_date","bib_locations","abbv_bib_locations","count_active_holds","count_active_copies","count_copies_on_order"
"clc","a","Book","2","easy","9780803737181","b2570914a","420909365922","2012","2012-01-25","When Blue met Egg","when blue met egg","easy","","2019-05-04","2019-05-04","cvj,1cj","cv,1c","1","0","0"
"clc","a","Book","11","easy","9780810942615","b2078754a","420908873762","2003","2003-10-07","Face to face safari","face to face safari","easy","","2019-02-20","2019-02-20","anj,avj,bhj,chj,dtj,haj,maj,1cj,1lj,mtj,nsj,oaj,osj,rej,shj,smj","an,av,bh,ch,dt,ha,ma,1c,1l,mt,ns,oa,os,re,sh,sm","1","0","0"
"clc","a","Book","2","easy","9780060543709","b2604589a","420909399597","2005","2005-05-03","Animal sounds","animal sounds","easy","","2019-03-27","2019-03-27","dtj,osj","dt,os","1","0","0"
"clc","a","Book","11","372.2 b157","","b2314353a","420909109361","1918","1994-08-01","Tell me another story : the book of story programs","tell me another story the book of story programs","372.2 b157","","2016-07-11","2016-07-11","1lj","1l","1","0","0"
"clc","a","Book","11","791.53 qb854","9780838907498","b1846416a","420908641424","1999","1999-02-23","101 fingerplays, stories, and songs to use with finger puppets","101 fingerplays stories and songs to use with finger puppets","791.53 qb854","","2017-10-13","2017-10-13","chj,maa,1lj,mma,moa,pla,wta,wya","ch,ma,1l,mm,mo,pl,wt,wy","1","0","0"
"clc","a","Book","2","easy","9780671469344","b1045244a","420907840252","1975","1992-03-22","Weather","weather","easy","","2018-06-20","2018-06-20","osj","os","1","0","0"
"clc","a","Book","2","fiction","9780439070317","b1777430a","420908572438","1999","1999-09-07","The conspiracy","conspiracy","fiction","","2019-04-01","2019-04-01","1lj","1l","1","0","0"
"clc","a","Book","2","591.472 qm128 ,     1973","9780870441448","b2473007a","420909268015","1973","1992-04-07","How animals hide","how animals hide","591.472 qm128 ,     1973","","2019-04-03","2019-04-03","osj","os","1","0","0"
"clc","a","Book","2","easy","9780794425852","b2793834a","420909588842","2012","2012-08-10","Elmo goes to school!","elmo goes to school","easy","","2019-05-18","2019-05-18","anj,grj,haj,1lj,nsj","an,gr,ha,1l,ns","1","0","0"
"clc","a","Book","2","easy","9781423135845","b2662844a","420909457852","2011","2011-02-01","All about baby","all about baby","easy","","2019-06-06","2019-06-06","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780060508029","b2183412a","420908978420","2004","2004-02-12","Duck, duck, goose! : (a coyote's on the loose!)","duck duck goose a coyotes on the loose","easy","","2019-06-26","2019-06-26","maj,1lj,osj,prj","ma,1l,os,pr","1","0","0"
"clc","a","Book","2","easy","9780545274425","b2626596a","420909421604","2011","2011-01-05","What does cow say?","what does cow say","easy","","2018-11-02","2018-11-02","bhj,foj,mmj,pla,wtj,wwj","bh,fo,mm,pl,wt,ww","1","0","0"
"clc","a","Book","2","133.1 l253","9781562945442","b1693777a","420908488785","1995","1995-12-20","Ghosts","ghosts","133.1 l253","","2019-03-26","2019-03-26","1lj","1l","1","0","0"
"clc","a","Book","2","741.5 a484 k     2006","9781598166378","b2662644a","420909457652","2006","2006-12-07","Kingdom hearts : chain of memories","kingdom hearts chain of memories","741.5 a484 k     2006","v.02","2017-07-20","2017-07-20","epj,moj,nrj,osj","ep,mo,nr,os","1","0","0"
"clc","a","Book","2","796.334092 qn572 zjne     2015","9780789212276","b3041077a","420909836085","2015","2015-04-24","Neymar : the new Pelé","neymar the new pelé","796.334092 qn572 zjne     2015","","2019-05-09","2019-05-09","gej,grj","ge,gr","1","0","0"
"clc","a","Book","10","790.1922 qe11","9781573100243","b1590363a","420908385371","1995","1996-08-26","Game for a game? : games, trivia, folklore and fun","game for a game games trivia folklore and fun","790.1922 qe11","","2015-06-30","2015-06-30","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780689865817","b2274097a","420909069105","2004","2004-05-27","SpongeBob and the princess","spongebob and the princess","easy","","2019-06-24","2019-06-24","haj","ha","1","0","0"
"clc","a","Book","2","s o easy","9781840597448","b3040611a","420909835619","2012","2015-04-30","Opposites = Opuestos : English-Spanish","opposites opuestos english spanish","s o easy","","2019-07-06","2019-07-06","bhj,grj","bh,gr","1","0","0"
"clc","a","Book","2","easy","9780736401180","b2742139a","420909537147","2006","2006-02-08","Disney's Winnie the Pooh shapes","disneys winnie the pooh shapes","easy","","2019-06-10","2019-06-10","osj","os","1","0","0"
"clc","a","Book","2","fiction","9780590494366","b1527197a","420908322205","1998","1998-07-20","The underground","underground","fiction","","2019-04-01","2019-04-01","1lj","1l","1","0","0"
"clc","a","Book","2","easy","","b2133178a","420908928186","1971","1992-03-22","Nobody asked me if I wanted a baby sister.","nobody asked me if i wanted a baby sister","easy","","2019-04-19","2019-04-19","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780794402914","b2637634a","420909432642","2003","2005-07-18","See the sea! : a book about colors","see the sea a book about colors","easy","","2019-05-23","2019-05-23","1lj,nrj,osj","1l,nr,os","1","0","0"
"clc","a","Book","2","easy","9781423114369","b2672821a","420909467829","2009","2009-10-02","Big Frog can't fit in : a pop out book","big frog cant fit in a pop out book","easy","","2019-03-16","2019-03-16","crj,haj,maj,1lj,nsj,osj,plj","cr,ha,ma,1l,ns,os,pl","1","0","0"
"clc","a","Book","2","741.5 qm9953f     2013","9781613776056","b2923984a","420909718992","2013","2019-03-29","My little pony : friendship is magic","my little pony friendship is magic","741.5 qm9953f     2013","v.05","2019-05-13","2019-05-13","anj,avj,baj,bhj,chj,coj,crj,cvj,dpj,dtj,foj,gej,ghj,grj,haj,hpj,lvj,maj,mdj,1cj,1lj,mmj,moj,mtj,mwj,nrj,nsj,nwj,oaj,plj,prj,shj,sbj,smj,whj,wwj,wyj","an,av,ba,bh,ch,co,cr,cv,dp,dt,fo,ge,gh,gr,ha,hp,lv,ma,md,1c,1l,mm,mo,mt,mw,nr,ns,nw,oa,pl,pr,sh,sb,sm,wh,ww,wy","1","0","0"
"clc","a","Book","2","536.078 w878 ,     1990","9780830692927","b1328804a","420908123812","1990","1991-04-08","Physics for kids : 49 easy experiments with heat","physics for kids 49 easy experiments with heat","536.078 w878 ,     1990","","2019-06-23","2019-06-23","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780316055710","b2777140a","420909572148","2010","2012-10-15","Hulk saves the day!","hulk saves the day","easy","","2019-06-26","2019-06-26","anj,bhj,coj,cvj,grj,haj,lvj,1cj,nsj,oaj,osj","an,bh,co,cv,gr,ha,lv,1c,ns,oa,os","1","0","0"
"clc","a","Book","2","597.8 s468 ,     1976","97808027624360802762441","b2488912a","420909283920","1976","1992-03-22","A first look at frogs, toads, and salamanders.","first look at frogs toads and salamanders","597.8 s468 ,     1976","","2019-04-01","2019-04-01","1lj","1l","1","0","0"
"clc","a","Book","2","639.395 l253","9780516203874","b1503121a","420908298129","1997","1998-03-19","Your pet iguana","your pet iguana","639.395 l253","","2018-09-05","2018-09-05","osj","os","1","0","0"
"clc","a","Book","2","793.73","","b2477743a","420909272751","1971","1992-04-13","Sharpen your wits; a puzzle book to bend your brains.","sharpen your wits a puzzle book to bend your brains","793.73","","2019-06-29","2019-06-29","1lj","1l","1","0","0"
"clc","a","Book","11","398.8 o61  p","","b2322751a","420909117759","1971","1996-10-21","The Puffin book of nursery rhymes","puffin book of nursery rhymes","398.8 o61  p","","2019-07-02","2019-07-02","1lj","1l","1","0","0"
"clc","a","Book","2","612.75","9780316527620","b2151111a","420908946119","1973","1992-03-22","Your living bones,","your living bones","612.75","","2018-08-02","2018-08-02","1lj,osj","1l,os","1","0","0"
"clc","a","Book","2","641.578 w776","9780525455332","b1865815a","420908660823","1997","2004-08-09","Winnie-the-Pooh's picnic cookbook","winnie the poohs picnic cookbook","641.578 w776","","2019-07-01","2019-07-01","1lj","1l","1","0","0"
